timestamp_s,can_id_hex,dlc,data_hex,signals_json
1779768857.860,0x100,8,00 B4 94 EC 0C 72 DD AF,speed=0.00
1779768857.948,0x200,8,B3 64 59 A6 B6 ED B8 D7,fuel=100.00
1779768858.043,0x300,8,02 BC 30 C0 65 7D FD 31,temp=42.00
1779768858.134,0x100,8,00 34 12 AD EA F8 F1 16,speed=0.00
1779768858.230,0x200,8,12 64 2E 0A BD 27 F1 94,fuel=100.00
1779768858.325,0x300,8,02 DA E9 16 23 1C 91 45,temp=42.00
1779768858.415,0x100,8,00 1B 00 D5 94 02 07 12,speed=0.00
1779768858.515,0x200,8,BA 64 46 33 5B 08 29 85,fuel=100.00
1779768858.603,0x300,8,02 47 C6 21 71 63 61 62,temp=42.00
1779768858.699,0x100,8,00 FB D7 04 01 7A D7 C1,speed=0.00
1779768858.790,0x200,8,05 64 40 05 0D 08 1E 3E,fuel=100.00
1779768858.886,0x300,8,02 51 EA AF 91 E4 E3 B6,temp=42.00
1779768858.977,0x100,8,00 88 D0 E5 1C EC BA F5,speed=0.00
1779768859.072,0x200,8,A5 64 2A AC 02 8A D5 34,fuel=100.00
1779768859.168,0x300,8,02 EB 29 93 90 FD 14 06,temp=42.00
1779768859.259,0x100,8,00 B7 91 AF 7E A2 0E ED,speed=0.00
1779768859.355,0x200,8,6E 64 30 BC 7E 01 21 C9,fuel=100.00
1779768859.451,0x300,8,02 F2 65 D5 4A D8 98 9F,temp=42.00
1779768859.542,0x100,8,00 32 C2 37 C6 81 35 18,speed=0.00
1779768859.638,0x200,8,E8 64 D4 95 F7 B6 38 5F,fuel=100.00
1779768859.728,0x300,8,02 23 F1 0B B5 79 CE 8C,temp=42.00
1779768859.824,0x100,8,00 22 C2 3F AC CE 9A E0,speed=0.00
1779768859.915,0x200,8,70 64 95 9B EE D1 65 63,fuel=100.00
1779768860.011,0x300,8,02 A4 D4 EF D9 28 34 3F,temp=42.00
1779768860.103,0x100,8,00 4E 53 2E 2C DD C1 D0,speed=0.00
1779768860.199,0x200,8,38 64 25 42 AF 7B AF 33,fuel=100.00
1779768860.293,0x300,8,02 DD DF 76 51 F2 A1 47,temp=42.00
1779768860.390,0x100,8,00 86 E1 EE 4E F2 9C 8F,speed=0.00
1779768860.486,0x200,8,84 64 70 0E 96 D8 E4 5E,fuel=100.00
1779768860.571,0x300,8,02 03 60 1E 02 8F 89 7B,temp=42.00
1779768860.666,0x100,8,00 8A 6E 04 CE FD 52 59,speed=0.00
1779768860.758,0x200,8,1F 64 4C 7D C0 5C D2 51,fuel=100.00
1779768860.854,0x300,8,02 CB A9 A6 9F F2 93 EF,temp=42.00
1779768860.950,0x100,8,00 0E 52 AC D4 0A B9 D0,speed=0.00
1779768861.046,0x200,8,70 64 14 6D C9 0E D0 CE,fuel=100.00
1779768861.142,0x300,8,02 41 08 8E 4C 0F 7B 20,temp=42.00
1779768861.227,0x100,8,00 F1 01 BF 3E 26 E1 C0,speed=0.00
1779768861.323,0x200,8,3B 64 F8 64 31 82 D3 C5,fuel=100.00
1779768861.420,0x300,8,02 30 6A 33 DE FD 14 6C,temp=42.00
1779768861.510,0x100,8,00 EE 2A A9 89 49 30 14,speed=0.00
1779768861.604,0x200,8,05 64 96 F6 16 D3 D9 40,fuel=100.00
1779768861.698,0x300,8,02 A3 F7 68 A8 79 13 EE,temp=42.00
1779768861.792,0x100,8,00 4B B0 8B DB D2 20 E5,speed=0.00
1779768861.883,0x200,8,DC 64 CD CC C6 F1 54 2C,fuel=100.00
1779768861.979,0x300,8,02 17 FE DC 68 46 AF 73,temp=42.00
1779768862.075,0x100,8,00 F4 16 5C DB 8E FF 73,speed=0.00
1779768862.166,0x200,8,BB 64 F6 CD DE E0 BF DE,fuel=100.00
