timestamp_s,can_id_hex,dlc,data_hex,signals_json
1779166328.894,0x200,8,98 64 68 8C 0F 65 5C 17,fuel=100.00
1779166328.993,0x300,8,11 7A 37 CB 04 0F C8 DE,temp=57.00
1779166329.080,0x100,8,15 C8 EC F3 1E C2 2C 38,speed=21.00
1779166329.172,0x200,8,EF 64 D1 4F B7 73 DB 69,fuel=100.00
1779166329.264,0x300,8,11 66 46 63 DD AD 7D C5,temp=57.00
1779166329.359,0x100,8,15 EB 15 CA CE 43 BF 5D,speed=21.00
1779166329.454,0x200,8,BA 64 C7 C5 C6 DF F8 32,fuel=100.00
1779166329.546,0x300,8,11 9B 4F 06 8F DA 79 82,temp=57.00
1779166329.638,0x100,8,15 49 E7 4C C1 C8 4D 47,speed=21.00
1779166329.730,0x200,8,1A 64 97 A5 81 68 83 2F,fuel=100.00
1779166329.825,0x300,8,11 21 DE AA 30 C1 AB 23,temp=57.00
1779166329.923,0x100,8,15 43 78 18 7C C6 A1 CB,speed=21.00
1779166330.015,0x200,8,E6 64 6D 66 61 3A C6 BE,fuel=100.00
1779166330.108,0x300,8,11 36 F9 01 51 54 60 85,temp=57.00
1779166330.198,0x100,8,15 40 F3 3C 43 68 B0 5D,speed=21.00
1779166330.292,0x200,8,ED 64 A0 1D 81 64 1D F2,fuel=100.00
1779166330.384,0x300,8,11 8A 2E BC 39 8A 09 A6,temp=57.00
1779166330.481,0x100,8,15 10 71 EC 16 B7 14 B7,speed=21.00
1779166330.572,0x200,8,90 64 32 9B 07 1F 78 F8,fuel=100.00
1779166330.666,0x300,8,11 59 14 DC 48 0F B6 27,temp=57.00
1779166330.774,0x100,8,15 0E 92 FB D3 AF E4 CE,speed=21.00
1779166330.867,0x200,8,D4 64 0E 13 55 AA 87 5E,fuel=100.00
1779166330.960,0x300,8,11 E5 BC 4A E6 B5 A7 F1,temp=57.00
1779166331.051,0x100,8,15 79 72 AC 64 C1 84 8D,speed=21.00
1779166331.145,0x200,8,01 64 47 C0 C7 ED 09 58,fuel=100.00
1779166331.238,0x300,8,11 95 AC 0B F6 2C 73 7C,temp=57.00
1779166331.332,0x100,8,15 30 FB D6 78 2D 58 AE,speed=21.00
1779166331.424,0x200,8,25 64 BE 78 59 3D 53 60,fuel=100.00
1779166331.517,0x300,8,11 79 CA 34 80 95 4D B5,temp=57.00
1779166331.609,0x100,8,15 21 DC 98 F2 66 EC CC,speed=21.00
1779166331.702,0x200,8,CB 64 E8 B6 9D EB D4 E1,fuel=100.00
1779166331.794,0x300,8,11 6F 7C 01 FA 52 19 A6,temp=57.00
1779166331.888,0x100,8,15 D1 23 54 5B E5 25 EC,speed=21.00
1779166331.986,0x200,8,11 64 72 06 75 56 18 BC,fuel=100.00
1779166332.075,0x300,8,11 F5 96 24 96 68 7B 11,temp=57.00
1779166332.169,0x100,8,15 60 06 28 83 92 3E 6D,speed=21.00
1779166332.262,0x200,8,2A 64 D3 5C 87 05 F0 50,fuel=100.00
1779166332.356,0x300,8,11 28 38 AE 17 1E 68 23,temp=57.00
1779166332.448,0x100,8,15 85 1F 16 A7 2F 00 3A,speed=21.00
1779166332.542,0x200,8,F1 64 68 6F AC 3F F0 C1,fuel=100.00
1779166332.634,0x300,8,11 F8 4B C4 36 A9 44 D9,temp=57.00
1779166332.727,0x100,8,15 59 2C A5 E0 9A 28 AF,speed=21.00
1779166332.821,0x200,8,06 64 25 F3 A5 F9 C6 C6,fuel=100.00
1779166332.916,0x300,8,11 24 90 20 99 13 3D 3A,temp=57.00
1779166333.028,0x100,8,15 11 10 3C AB 24 AF 41,speed=21.00
1779166333.118,0x200,8,6C 64 B0 58 2B 8C 2B 9A,fuel=100.00
1779166333.228,0x300,8,11 5E E9 9B 66 FF E0 B2,temp=57.00
1779166333.306,0x100,8,15 6F C0 30 D9 21 D3 F4,speed=21.00
1779166333.413,0x200,8,CE 64 48 E7 BA DC BC 70,fuel=100.00
1779166333.507,0x300,8,11 9B 0F D9 A3 4F 87 A1,temp=57.00
1779166333.586,0x100,8,15 95 83 C3 8C 5B CC 7C,speed=21.00
1779166333.680,0x200,8,45 64 8C 24 F0 A9 6C C4,fuel=100.00
1779166333.774,0x300,8,11 4E A7 E2 2B BE F2 75,temp=57.00
1779166333.883,0x100,8,15 6B 84 DE 09 71 70 F1,speed=21.00
1779166333.964,0x200,8,E8 64 C2 EA 1D 3A 84 A4,fuel=100.00
1779166334.068,0x300,8,11 98 BF 5D CD 8E AD F8,temp=57.00
1779166334.160,0x100,8,15 43 DA 38 F7 0E D4 4D,speed=21.00
1779166334.254,0x200,8,D2 64 5F 10 5D C2 91 2D,fuel=100.00
1779166334.346,0x300,8,11 F7 68 4F 1C 6C 79 B4,temp=57.00
1779166334.439,0x100,8,15 1E 8E 45 B3 D3 10 4D,speed=21.00
1779166334.533,0x200,8,AF 64 0D 72 F2 01 B7 ED,fuel=100.00
1779166334.624,0x300,8,11 9B BD 5A 80 98 D8 E8,temp=57.00
1779166334.717,0x100,8,15 AD C8 DB 54 06 48 81,speed=21.00
1779166334.813,0x200,8,4C 64 38 64 BE 51 4A 47,fuel=100.00
1779166334.904,0x300,8,11 81 C0 E4 C8 1C 68 26,temp=57.00
1779166334.997,0x100,8,15 AE 6B 09 86 C4 18 D7,speed=21.00
1779166335.089,0x200,8,63 64 57 B2 80 6B D5 C7,fuel=100.00
1779166335.185,0x300,8,11 ED 30 BB 50 19 E3 36,temp=57.00
1779166335.278,0x100,8,15 F0 3D BD 48 01 20 0D,speed=21.00
1779166335.372,0x200,8,01 64 E6 51 4A 00 E8 61,fuel=100.00
